ID_Local,Furo,M(m),P(m),Origem,Log_Sondagem,Ensaio,Hidroquimica,Qual,Quant
120,330F0028,176950,275570,LNEG,N,Y,N,null,null
121,330F0029,176951,275571,LNEG,N,Y,N,null,null
126,330/AG1,177033,275900,SNIRH,Y,N,N,null,null
127,330/22,174332,270792,SNIRH,Y,N,N,null,a
128,330F0014,183264,278983,LNEG,N,Y,N,null,null
129,330F0015,183296,278979,LNEG,N,Y,N,null,null
130,331F0026,188350,277970,LNEG,N,Y,N,null,null
131,331F0031,188440,278720,LNEG,N,Y,N,null,null
132,331F0030,188590,278740,LNEG,N,Y,N,null,null
133,377/59,145228,236422,SNIRH,N,N,N,null,a
134,331/2,188592,279051,SNIRH,Y,Y,N,null,a
135,331F0016,189870,277820,LNEG,N,Y,Y,null,null
136,331F0015,189950,277780,LNEG,N,Y,Y,null,null
137,331F0017,190120,277850,LNEG,N,Y,Y,null,null
138,331F0018,190170,277920,LNEG,N,Y,Y,null,null
139,331F0003,193270,277950,LNEG,N,Y,N,null,null
140,331/15,193296,278102,SNIRH,Y,Y,Y,i,a
141,331F0002,193300,277950,LNEG,N,Y,N,null,null
142,331F0009,193600,277850,LNEG,N,Y,N,null,null
143,331F0004,194280,278630,LNEG,N,Y,N,null,null
144,331F0005,194330,278550,LNEG,N,Y,N,null,null
145,331F0011,194850,273320,LNEG,N,N,N,null,null
146,331F0010,194880,273400,LNEG,N,N,N,null,null
147,331F0012,194920,273480,LNEG,N,N,N,null,null
148,331F0040,194960,274490,LNEG,N,Y,N,null,null
149,331F0037,195510,273060,LNEG,N,Y,N,null,null
150,331F0043,195950,278050,LNEG,N,Y,Y,null,null
151,331F0022,195980,277880,LNEG,N,Y,Y,null,null
152,331F0023,196050,277920,LNEG,N,N,Y,null,null
154,331F0013,196310,277520,LNEG,N,Y,Y,null,null
155,331F0021,196450,277550,LNEG,N,Y,Y,null,null
157,341F0001,154520,267670,LNEG,N,Y,Y,null,null
160,418/AG49,131467,204958,SNIRH,null,null,null,a,null
161,418/15,132260,297520,SNIRH,null,null,null,a,a
162,404/69,134850,210870,SNIRH,null,null,null,a,i
163,418/4,135060,204980,SNIRH,null,null,null,a,a
164,419/AG3,136088,204799,SNIRH,null,null,null,a,null
165,405/17,136600,219500,SNIRH,null,null,null,a,a
166,405/32,136682,212681,SNIRH,null,null,null,a,null
167,405/34,139561,211220,SNIRH,null,null,null,null,i
168,405/AG6,139649,211339,SNIRH,null,null,null,i,null
169,377/262,144300,234550,SNIRH,null,null,null,a,null
170,377/86,144320,234440,SNIRH,null,null,null,null,a
171,391/33,146740,226240,SNIRH,null,null,null,a,a
172,377/264,147040,273470,SNIRH,null,null,null,a,null
173,364/259,147360,241900,SNIRH,null,null,null,a,null
174,377/263,147600,239000,SNIRH,null,null,null,i,null
175,391/404,148130,221120,SNIRH,null,null,null,a,null
176,377/94,148399,234273,SNIRH,null,null,null,a,a
177,364/260,149570,244000,SNIRH,null,null,null,i,null
178,364/297,149575,244005,SNIRH,null,null,null,a,null
179,378/129,152520,231100,SNIRH,null,null,null,null,i
180,353/363,153770,250290,SNIRH,null,null,null,a,null
181,365/470,154350,245140,SNIRH,null,null,null,a,null
182,353/362,155460,253650,SNIRH,null,null,null,i,null
183,365/471,156160,247540,SNIRH,null,null,null,i,null
184,341/252,161780,262470,SNIRH,null,null,null,i,null
185,353/353,162940,253600,SNIRH,null,null,null,null,i
186,341/253,164000,264600,SNIRH,null,null,null,a,null
187,353/346,165000,258000,SNIRH,null,null,null,null,i
188,353/373,165001,258000,SNIRH,null,null,null,a,null
189,341/255,165540,268440,SNIRH,null,null,null,i,null
190,341/269,166921,269032,SNIRH,null,null,null,i,null
191,341/251,166960,260910,SNIRH,null,null,null,i,null
192,341/254,167050,265270,SNIRH,null,null,null,a,null
193,329/341,167873,270663,SNIRH,null,null,null,a,null
194,342/114,168360,268980,SNIRH,null,null,null,a,null
195,342/115,168420,267550,SNIRH,null,null,null,a,null
196,330/234,169030,274050,SNIRH,null,null,null,a,null
197,330/233,170250,273470,SNIRH,null,null,null,a,null
198,330/235,171120,271440,SNIRH,null,null,null,i,null
199,342/113,171250,268700,SNIRH,null,null,null,a,null
200,330/230,174000,271850,SNIRH,null,null,null,i,null
201,330/232,174380,274000,SNIRH,null,null,null,i,null
202,330/231,175050,275180,SNIRH,null,null,null,a,null
203,331/129,187630,276740,SNIRH,null,null,null,a,null
204,331/1,188570,278970,SNIRH,null,null,null,i,null
205,331/130,188860,277700,SNIRH,null,null,null,a,null
206,331/131,189600,277700,SNIRH,null,null,null,a,null
207,331/126,195300,274870,SNIRH,null,null,null,i,null
208,331/133,196120,277785,SNIRH,null,null,null,i,null
209,331/127,196300,276200,SNIRH,null,null,null,i,null
210,331/23,194300,278640,SNIRH,Y,null,null,null,null
211,365/27,161520,244710,SNIRH,Y,null,null,null,null
212,377/236,150150,237050,SNIRH,Y,null,null,null,null
214,378/99,155050,236300,SNIRH,Y,null,null,null,null
215,391/266,147560,225430,SNIRH,Y,null,null,null,null
