ID_Local,Furo,M,P,Cl ,SO4,HCO3 ,Na,Ca,Mg ,Mg/Ca,Cl/HCO3,SO4/Cl,CondEletrica,pHAmostra,TempAmostra,Mg/Cl,NaCl,Nitratos,Fe,Mn
20,390/99,130060.60,228988.30,332.07,85.41,371.31,188.02,128.31,41.22,0.32,0.89,0.26,605.22,7.25,17.62,0.12,520.10,32.92,0.12,0.12
21,376/29,134310.80,230455.30,225.13,66.51,271.52,151.59,78.74,29.61,0.38,0.83,0.30,571.60,7.37,17.78,0.13,376.72,22.64,0.25,0.14
22,390F0098,134530.00,224150.00,208.83,63.36,295.90,170.35,75.38,29.40,0.39,0.71,0.30,634.77,7.40,17.50,0.14,379.18,21.46,0.16,0.13
24,404/91,135383.00,218323.00,35.52,74.71,314.88,99.55,82.14,22.91,0.28,0.11,2.10,419.25,7.77,17.30,0.65,135.08,6.48,0.08,0.16
27,391F0016,137700.00,227730.00,150.96,59.75,222.13,120.11,56.35,23.85,0.42,0.68,0.40,555.55,7.21,17.68,0.16,271.07,22.69,0.20,0.12
28,405F0049,137710.00,217320.00,88.13,71.34,289.21,99.63,75.17,22.32,0.30,0.30,0.81,698.41,7.35,17.63,0.25,187.76,17.63,0.15,0.14
29,405/AG7,137711.00,217245.00,87.89,71.10,287.43,100.08,74.77,22.32,0.30,0.31,0.81,691.11,7.35,17.66,0.25,187.97,17.75,0.15,0.14
30,391/AG18,140600.00,223600.00,91.44,52.92,182.44,91.52,41.72,17.78,0.43,0.50,0.58,511.14,6.92,17.57,0.19,182.96,25.07,0.14,0.09
31,391/245,141050.00,223580.00,85.88,51.03,170.39,87.72,38.16,16.76,0.44,0.50,0.59,493.33,6.86,17.58,0.20,173.60,25.95,0.13,0.09
32,391/AG16,141795.00,223728.00,73.88,48.00,149.21,81.57,32.05,14.95,0.47,0.50,0.65,462.00,6.75,17.60,0.20,155.45,28.00,0.12,0.08
33,405/AG1,142100.00,219750.00,80.01,50.57,175.67,83.76,44.06,16.86,0.38,0.46,0.63,515.25,7.09,17.78,0.21,163.77,21.57,0.13,0.09
34,391/437,143834.00,225145.00,60.02,45.70,104.94,70.63,21.77,11.93,0.55,0.57,0.76,416.91,6.41,17.40,0.20,130.65,35.71,0.11,0.07
35,391/AG14,144440.00,224099.00,47.85,42.66,88.21,65.18,16.00,8.17,0.51,0.54,0.89,385.00,6.10,17.23,0.17,113.03,43.87,0.07,0.09
36,391/243,145560.00,221380.00,54.67,30.34,88.31,56.14,22.00,11.33,0.51,0.62,0.56,439.51,7.70,18.27,0.21,110.81,10.10,0.07,0.05
37,391/AG19,145675.00,220960.00,53.76,29.63,90.31,54.00,23.23,11.42,0.49,0.60,0.55,443.62,7.78,18.28,0.21,107.76,9.26,0.07,0.05
38,391F0037,145800.00,221100.00,53.50,28.69,87.76,53.14,22.50,11.21,0.50,0.61,0.54,445.00,7.80,18.32,0.21,106.64,9.00,0.07,0.05
39,391/244,145970.00,223500.00,78.84,15.37,67.18,60.58,11.15,8.78,0.79,1.17,0.19,339.54,6.50,19.02,0.11,139.42,15.59,0.11,0.01
40,377/85,146382.30,235871.00,93.05,49.83,161.20,83.45,34.48,15.98,0.46,0.58,0.54,645.75,7.68,17.44,0.17,176.50,7.50,0.55,0.14
41,377/52,146670.30,237066.00,105.57,50.23,182.95,125.29,22.89,10.98,0.48,0.58,0.48,825.30,7.79,17.67,0.10,230.86,1.99,0.54,0.11
42,377/54,146991.00,236849.00,106.09,50.24,181.52,122.85,24.10,11.67,0.48,0.58,0.47,814.08,7.77,17.58,0.11,228.94,2.46,0.54,0.12
43,377/84,147302.40,237288.00,102.84,49.65,184.05,129.67,19.72,8.94,0.45,0.56,0.48,844.62,7.81,17.70,0.09,232.51,1.24,0.51,0.10
44,391/312,151239.00,224433.00,66.32,44.70,113.09,60.77,31.70,16.44,0.52,0.59,0.67,437.55,6.85,17.79,0.25,127.09,23.17,0.18,0.08
45,365F0017,152650.00,242250.00,34.22,15.93,118.50,44.27,14.42,6.72,0.47,0.29,0.47,299.27,7.49,20.31,0.20,78.48,12.18,0.14,0.03
46,365F0016,152750.00,241920.00,32.72,14.72,115.28,44.03,12.62,5.89,0.47,0.28,0.45,284.48,7.50,20.42,0.18,76.75,11.58,0.10,0.02
47,365/15,152850.00,241950.00,32.58,14.61,115.00,44.00,12.46,5.81,0.47,0.28,0.45,283.20,7.50,20.43,0.18,76.58,11.53,0.10,0.02
48,353/26,166310.00,258300.00,27.88,9.89,162.63,24.68,52.58,4.98,0.09,0.17,0.35,453.37,6.65,17.20,0.18,52.56,4.32,0.26,0.04
50,365F0023,155120.00,241300.00,52.21,29.51,147.98,46.24,33.02,14.12,0.43,0.35,0.57,441.26,7.32,19.06,0.27,98.45,23.55,0.47,0.14
51,365F0025,155430.00,247500.00,44.11,24.00,180.89,30.79,28.52,9.54,0.33,0.24,0.54,404.74,6.47,17.85,0.22,74.90,65.78,0.37,0.31
52,365F0021,155770.00,244940.00,51.11,28.19,98.30,38.18,30.86,12.62,0.41,0.52,0.55,437.83,6.84,18.23,0.25,89.29,51.60,0.34,0.10
53,365F0024,155900.00,247400.00,42.55,19.57,174.29,29.33,22.56,7.72,0.34,0.24,0.46,371.89,6.33,17.76,0.18,71.87,72.40,0.24,0.29
54,365F0032,155980.00,248470.00,44.65,29.02,206.14,31.23,34.83,10.96,0.31,0.22,0.65,435.91,6.56,17.92,0.25,75.87,62.11,0.51,0.38
55,365F0022,156000.00,244340.00,51.56,29.45,114.14,39.18,33.00,13.32,0.40,0.45,0.57,450.03,6.92,18.31,0.26,90.74,46.64,0.40,0.12
57,365F0020,156220.00,245220.00,50.28,29.33,118.91,37.27,33.32,12.73,0.38,0.42,0.58,447.35,6.82,18.19,0.25,87.55,50.93,0.41,0.14
58,365F0018,156680.00,248470.00,45.08,29.30,179.70,31.64,34.38,11.02,0.32,0.25,0.65,435.85,6.59,17.96,0.24,76.73,62.85,0.47,0.31
59,365F0011,156950.00,248270.00,45.10,28.51,170.51,31.68,33.31,10.79,0.32,0.26,0.63,430.41,6.58,17.95,0.24,76.78,63.46,0.44,0.28
60,365F0015,157200.00,248500.00,46.16,32.49,159.82,32.82,37.24,12.29,0.33,0.29,0.70,454.21,6.70,18.07,0.27,78.98,61.32,0.49,0.25
61,365F0010,157230.00,248400.00,46.01,31.76,160.26,32.68,36.51,12.05,0.33,0.29,0.69,449.94,6.68,18.05,0.26,78.68,61.57,0.48,0.25
62,353F0024,157700.00,251100.00,47.88,42.69,117.61,35.20,43.81,14.82,0.34,0.41,0.89,497.58,7.01,18.45,0.31,83.07,69.58,0.50,0.15
63,353/22,158460.00,250300.00,49.00,30.35,46.50,36.00,23.78,13.72,0.58,1.05,0.62,404.30,7.00,18.62,0.28,85.00,90.48,0.08,0.05
64,365F0030,159000.00,248600.00,46.48,37.53,123.79,35.47,38.97,13.72,0.35,0.38,0.81,477.59,6.93,18.34,0.30,81.95,62.61,0.50,0.16
65,353F0028,160540.00,250520.00,45.49,42.98,127.88,34.84,40.02,12.73,0.32,0.36,0.94,501.43,6.97,18.35,0.28,80.34,54.11,0.52,0.15
66,353F0012,160650.00,253540.00,42.60,46.28,79.30,32.00,4.00,3.90,0.98,0.54,1.09,517.47,6.90,17.85,0.09,74.60,36.85,0.05,0.17
67,353F0023,161290.00,253230.00,42.88,44.48,93.39,31.91,12.93,5.40,0.42,0.46,1.04,506.05,6.91,17.85,0.13,74.78,30.39,0.16,0.16
