ID_Local,Furo,M,P,Cl ,SO4,HCO3 ,Na,Ca,Mg ,Mg/Ca,Cl/HCO3,SO4/Cl,CondEletrica,pHAmostra,TempAmostra,Mg/Cl,NaCl,Nitratos,Fe,Mn
169,377/262,144300.00,234550.00,31.79,60.32,146.00,46.00,28.88,17.10,0.59,0.22,1.90,537.00,8.17,18.07,0.54,77.79,1.05,0.51,0.06
170,377/86,144320.00,234440.00,31.99,60.28,146.06,46.08,28.92,8.35,0.29,0.22,1.88,537.12,8.17,18.07,0.26,78.07,1.10,0.51,0.06
171,391/33,146740.00,226240.00,71.87,104.76,69.64,73.67,43.70,33.69,0.77,1.03,1.46,631.31,6.85,15.77,0.47,145.54,42.13,0.24,0.04
172,377/264,147040.00,273470.00,64.17,76.03,199.50,35.50,96.87,20.28,0.21,0.32,1.18,755.22,7.30,19.81,0.32,99.67,34.86,0.45,0.19
173,364/259,147360.00,241900.00,66.43,6.80,333.50,114.00,28.20,11.43,0.41,0.20,0.10,731.60,7.77,18.09,0.17,180.43,2.30,1.30,0.17
174,377/263,147600.00,239000.00,319.67,93.78,204.71,103.33,103.00,74.80,0.73,1.56,0.29,734.95,7.50,17.83,0.23,423.00,0.75,1.60,0.62
175,391/404,148130.00,221120.00,49.77,8.30,61.14,26.90,16.52,6.71,0.41,0.81,0.17,218.33,6.27,18.94,0.13,76.67,17.18,0.07,0.06
176,377/94,148399.00,234273.00,47.37,27.77,76.42,28.60,32.26,8.35,0.26,0.62,0.59,361.50,7.20,15.92,0.18,75.97,22.73,0.12,0.06
177,364/260,149570.00,244000.00,26.00,33.50,316.00,37.00,52.25,26.43,0.51,0.08,1.29,706.50,7.87,18.03,1.02,63.00,3.82,0.81,0.36
178,364/297,149575.00,244005.00,40.90,49.00,316.00,37.00,59.00,35.80,0.61,0.13,1.20,760.00,7.55,18.80,0.88,77.90,0.94,1.40,0.48
179,378/129,152520.00,231100.00,73.99,44.52,149.17,55.80,40.60,17.59,0.43,0.50,0.60,496.83,7.23,17.45,0.24,129.80,20.19,0.41,0.15
180,353/363,153770.00,250290.00,44.08,81.48,379.00,31.00,105.43,30.99,0.29,0.12,1.85,784.20,7.48,18.54,0.70,75.08,1.52,3.20,0.99
181,365/470,154350.00,245140.00,52.15,23.14,38.50,38.00,20.53,10.55,0.51,1.35,0.44,390.00,6.70,18.13,0.20,90.15,63.63,0.05,0.01
182,353/362,155460.00,253650.00,57.84,156.71,526.50,32.00,217.14,28.00,0.13,0.11,2.71,1250.00,7.35,17.86,0.48,89.84,6.46,2.68,0.56
183,365/471,156160.00,247540.00,42.20,18.63,177.09,29.00,21.30,7.33,0.34,0.24,0.44,365.00,6.30,17.73,0.17,71.20,73.84,0.21,0.29
184,341/252,161780.00,262470.00,69.62,173.22,502.00,31.00,183.43,40.60,0.22,0.14,2.49,1188.00,7.23,18.23,0.58,100.62,27.05,0.06,0.16
185,353/353,162940.00,253600.00,42.37,40.04,128.64,30.77,35.39,9.58,0.27,0.33,0.94,471.24,6.91,17.68,0.23,73.14,8.97,0.53,0.14
186,341/253,164000.00,264600.00,97.03,80.95,202.00,41.00,122.17,34.62,0.28,0.48,0.83,1033.50,6.75,17.43,0.36,138.03,124.22,0.11,0.02
187,353/346,165000.00,258000.00,26.91,23.74,61.50,19.00,15.92,7.04,0.44,0.44,0.88,248.50,6.80,16.22,0.26,45.91,14.34,0.09,0.03
188,353/373,165001.00,258000.00,26.91,23.74,61.50,19.00,15.92,7.04,0.44,0.44,0.88,248.50,6.80,16.22,0.26,45.91,14.34,0.09,0.03
189,341/255,165540.00,268440.00,92.99,92.55,304.02,40.71,169.99,34.09,0.20,0.31,1.00,1046.27,7.34,18.26,0.37,133.70,58.81,0.33,0.14
190,341/269,166921.00,269032.00,95.10,170.00,350.75,40.50,220.00,44.00,0.20,0.27,1.79,1229.41,7.40,18.70,0.46,135.60,161.80,0.47,0.29
191,341/251,166960.00,260910.00,41.24,63.39,433.50,30.00,123.75,30.06,0.24,0.10,1.54,871.75,7.30,19.63,0.73,71.24,1.73,12.00,0.84
192,341/254,167050.00,265270.00,45.57,110.17,368.00,27.00,129.25,17.55,0.14,0.12,2.42,876.67,7.20,17.84,0.39,72.57,4.42,4.13,1.01
193,329/341,167873.00,270663.00,220.00,166.67,257.54,35.18,220.00,64.00,0.29,0.85,0.76,1250.00,6.95,17.85,0.29,255.18,38.75,0.20,0.05
194,342/114,168360.00,268980.00,120.83,155.75,540.00,33.50,290.75,54.38,0.19,0.22,1.29,1658.50,7.21,17.69,0.45,154.33,109.43,0.10,0.32
195,342/115,168420.00,267550.00,81.82,147.81,518.33,29.50,243.88,48.64,0.20,0.16,1.81,1338.80,7.15,17.47,0.59,111.32,90.25,0.09,0.19
196,330/234,169030.00,274050.00,131.21,19.01,103.50,61.00,43.37,13.74,0.32,1.27,0.14,569.67,7.24,19.59,0.10,192.21,18.13,0.26,0.07
197,330/233,170250.00,273470.00,92.08,50.29,78.50,81.00,45.60,18.04,0.40,1.17,0.55,676.00,6.74,18.96,0.20,173.08,96.07,0.07,0.03
198,330/235,171120.00,271440.00,86.19,61.47,42.57,40.50,59.39,29.04,0.49,2.02,0.71,711.40,6.87,18.73,0.34,126.69,131.51,0.46,0.04
199,342/113,171250.00,268700.00,73.49,144.52,404.33,38.00,215.00,35.57,0.17,0.18,1.97,1121.80,7.23,17.73,0.48,111.49,93.61,0.05,0.15
200,330/230,174000.00,271850.00,37.45,15.96,62.00,25.00,13.44,4.66,0.35,0.60,0.43,235.75,6.88,18.77,0.12,62.45,22.49,0.41,0.06
201,330/232,174380.00,274000.00,48.95,81.40,355.00,25.00,179.17,15.67,0.09,0.14,1.66,1070.50,7.23,18.36,0.32,73.95,127.50,0.12,0.07
202,330/231,175050.00,275180.00,22.52,33.04,233.50,19.00,83.72,7.05,0.08,0.10,1.47,457.75,7.34,17.76,0.31,41.52,33.96,0.14,0.05
203,331/129,187630.00,276740.00,39.74,38.44,131.00,27.67,65.70,12.54,0.19,0.30,0.97,492.75,6.94,17.44,0.32,67.41,36.33,0.07,0.04
204,331/1,188570.00,278970.00,37.24,22.38,35.50,24.00,32.34,11.32,0.35,1.05,0.60,303.67,6.48,18.69,0.30,61.24,36.57,0.96,0.03
205,331/130,188860.00,277700.00,32.40,79.60,167.50,25.00,75.49,11.04,0.15,0.19,2.46,498.86,7.49,18.08,0.34,57.40,20.76,0.09,0.04
206,331/131,189600.00,277700.00,35.15,41.69,156.00,38.00,33.98,17.15,0.50,0.23,1.19,417.67,6.80,18.93,0.49,73.15,46.13,0.35,0.04
207,331/126,195300.00,274870.00,19.55,26.63,66.00,16.00,29.46,5.70,0.19,0.30,1.36,217.40,6.87,18.48,0.29,35.55,14.90,0.07,0.04
208,331/133,196120.00,277785.00,33.46,47.01,301.00,26.00,100.14,13.86,0.14,0.11,1.40,605.75,7.33,17.20,0.41,59.46,27.12,0.06,0.04
209,331/127,196300.00,276200.00,42.32,30.70,59.00,24.00,26.34,7.28,0.28,0.72,0.73,350.00,6.38,17.87,0.17,66.32,35.54,1.03,0.04
210,331/23,194300.00,278640.00,760.48,58.93,187.02,20.11,64.59,11.18,0.17,4.07,0.08,435.93,6.92,17.92,0.01,780.60,13.57,0.19,0.04
211,365/27,161520.00,244710.00,52.63,37.53,174.94,39.03,46.22,14.99,0.32,0.30,0.71,529.47,7.02,18.23,0.28,91.65,37.71,0.62,0.24
212,377/236,150150.00,237050.00,113.81,48.28,167.92,71.32,45.69,24.29,0.53,0.68,0.42,584.55,7.51,17.68,0.21,185.14,11.44,0.72,0.23
214,378/99,155050.00,236300.00,76.13,39.69,170.49,54.80,41.67,19.49,0.47,0.45,0.52,512.70,7.36,18.18,0.26,130.92,19.56,0.62,0.20
215,391/266,147560.00,225430.00,69.85,79.52,79.23,70.30,36.37,26.00,0.71,0.88,1.14,544.43,6.80,16.60,0.37,140.14,34.55,0.20,0.04
217,404/AG2,135030.00,218340.00,30.20,73.22,310.76,104.08,80.80,23.17,0.29,0.10,2.42,388.00,7.80,17.36,0.77,134.28,5.70,0.07,0.16
219,377/287,146752.00,239462.00,229.50,72.44,220.95,99.97,75.52,51.37,0.68,1.04,0.32,719.34,7.57,17.89,0.22,329.47,3.02,1.29,0.45
221,365/428,158510.00,249470.00,48.10,33.94,77.82,35.74,30.94,13.86,0.45,0.62,0.71,436.88,6.98,18.52,0.29,83.84,79.16,0.26,0.09
223,392/29,152609.00,223430.00,66.14,42.01,122.38,60.47,32.45,15.75,0.49,0.54,0.64,431.06,6.88,17.92,0.24,126.61,22.08,0.19,0.09
225,404/61,133940.00,217820.00,61.24,67.00,293.37,124.11,76.03,24.11,0.32,0.21,1.09,487.11,7.66,17.65,0.39,185.34,9.63,0.11,0.13
226,405/11,136800.00,219520.00,106.58,80.87,335.58,86.56,89.30,22.38,0.25,0.32,0.76,1090.99,7.21,16.99,0.21,193.14,17.21,0.13,0.20
227,405/67,137570.00,218952.00,100.65,77.73,323.13,90.58,84.74,22.37,0.26,0.31,0.77,932.63,7.27,17.13,0.22,191.22,16.94,0.13,0.19
228,404/51,135010.00,214800.00,87.00,62.32,235.90,120.21,64.09,21.19,0.33,0.37,0.72,529.33,7.27,18.72,0.24,207.22,18.26,0.26,0.07
229,404/53,134950.00,210460.00,156.01,57.74,174.95,124.53,43.92,15.24,0.35,0.89,0.37,730.87,6.95,18.29,0.10,280.55,2.70,1.25,0.09
230,405/68,137570.00,208900.00,94.08,60.32,203.71,101.33,65.22,19.56,0.30,0.46,0.64,650.72,7.34,17.77,0.21,195.41,33.15,0.34,0.08
232,377/56,146687.00,237075.00,105.28,50.17,183.05,125.70,22.59,10.78,0.48,0.58,0.48,827.10,7.79,17.67,0.10,230.98,1.92,0.53,0.11
233,376/24,134003.00,230287.00,234.38,67.46,278.00,156.30,81.26,30.48,0.38,0.84,0.29,573.06,7.37,17.79,0.13,390.68,23.10,0.24,0.14
236,321/11,194663.00,286408.00,538.71,57.22,191.55,22.98,70.58,12.84,0.18,2.81,0.11,473.91,7.02,18.09,0.02,561.68,18.10,0.30,0.04
237,321/27,193880.00,280010.00,626.43,55.63,184.86,20.78,64.39,11.60,0.18,3.39,0.09,450.72,6.97,17.99,0.02,647.22,14.41,0.24,0.04
240,378/57,152550.00,231100.00,74.01,44.51,149.34,55.82,40.62,17.60,0.43,0.50,0.60,496.92,7.23,17.45,0.24,129.83,20.19,0.41,0.15
242,391/280,141270.00,223620.00,83.19,50.11,164.19,85.87,36.34,16.24,0.45,0.51,0.60,483.68,6.83,17.58,0.20,169.06,26.49,0.13,0.08
